# Source: https://github.com/bahar/WorldCityLocations
General Roca, Argentina	-39.0333333 -67.5833359
Venado Tuerto, Argentina	-33.7497222 -61.9669456
Goya, Argentina	-29.1333333 -59.2666664
Villa Carlos Paz, Argentina	-31.4000000 -64.5166702
Concepcion del Uruguay, Argentina	-32.4833333 -58.2283325
Puerto Madryn, Argentina	-42.7666667 -65.0500031
Tartagal, Argentina	-22.5333333 -63.8166656
San Francisco, Argentina	-31.4333333 -62.0833321
San Pedro, Argentina	-24.2333333 -64.8666687
Ushuaia, Argentina	-54.8000000 -68.3000031
Punta Alta, Argentina	-38.8833333 -62.0833321
General Pico, Argentina	-35.6666667 -63.7333336
Colegiales, Argentina	-34.5833333 -58.4500008
Obera, Argentina	-27.4833333 -55.1333351
Chivilcoy, Argentina	-34.9083333 -60.0305557
Azul, Argentina	-36.7833333 -59.8499985
Rio Tercero, Argentina	-32.1833333 -64.0999985
Mercedes, Argentina	-34.6544444 -59.4344444
Libertador General San Martin, Argentina	-23.8000000 -64.8000031
Viedma, Argentina	-40.8000000 -63.0000000
San Lorenzo, Argentina	-28.1333333 -58.7666664
Cutral-Co, Argentina	-38.9333333 -69.2333298
Tres Arroyos, Argentina	-38.3833333 -60.2833328
Villa Constitucion, Argentina	-33.2333333 -60.3333321
Alta Gracia, Argentina	-31.6666667 -64.4333344
Canada de Gomez, Argentina	-32.8169444 -61.4008331
Bell Ville, Argentina	-32.6166667 -62.7000008
Nueve de Julio, Argentina	-35.4541667 -60.8913879
Chacabuco, Argentina	-34.6416667 -60.4738884
Villa Santa Rita, Argentina	-34.6147735 -58.4797096
Gualeguay, Argentina	-33.1444444 -59.3291664
Puerto Iguazu, Argentina	-25.5991157 -54.5735550
Mercedes, Argentina	-29.2000000 -58.0833321
Coronel Suarez, Argentina	-37.4666667 -61.9166679
Rawson, Argentina	-43.3000000 -65.0999985
Dolores, Argentina	-36.3333333 -57.6666679
Victoria, Argentina	-32.6184122 -60.1547813
Lincoln, Argentina	-34.8650000 -61.5319443
Veinticinco de Mayo, Argentina	-35.4280556 -60.1741676
Clorinda, Argentina	-25.2833333 -57.7166672
Cafayate, Argentina	-26.0833333 -65.9666672
El Calafate, Argentina	-50.3407497 -72.2768173
Larroque, Argentina	-33.0333333 -59.0166664
Campo Quijano, Argentina	-24.9166667 -65.6500015
San Antonio de los Cobres, Argentina	-24.1833333 -66.3499985
Santa Rosa de Tastil, Argentina	-24.4333333 -65.9499969
Purmamarca, Argentina	-23.7333333 -65.4833298
Villa Catedral, Argentina	-41.1673478 -71.4387741
Yerevan, Armenia	40.1811111 44.5136108
Gyumri, Armenia	40.7894444 43.8474998
Vanadzor, Armenia	40.8127778 44.4883347
Ejmiatsin, Armenia	40.1727778 44.2924995
Hrazdan, Armenia	40.5016667 44.7547226
Abovyan, Armenia	40.2691667 44.6244431
Kapan, Armenia	39.2011111 46.4150009
Ararat, Armenia	39.8302778 44.7024994
Armavir, Armenia	40.1522222 44.0308342
Gavarr, Armenia	40.3588889 45.1266670
Artashat, Armenia	39.9538889 44.5505562
Goris, Armenia	39.5077778 46.3386116
Masis, Armenia	40.0672222 44.4361115
Ashtarak, Armenia	40.3016667 44.3591652
Sevan, Armenia	40.5550000 44.9536095
Spitak, Armenia	40.8372222 44.2675018
Ijevan, Armenia	40.8755556 45.1491661
Dilijan, Armenia	40.7408333 44.8630562
Alaverdi, Armenia	41.1305556 44.6519432
Vedi, Armenia	39.9105556 44.7277794
Vardenis, Armenia	40.1805556 45.7283325
Martuni, Armenia	40.1447222 45.3063889
Yeghvard, Armenia	40.3216667 44.4813881
Metsamor, Armenia	40.0713889 44.2891655
Berd, Armenia	40.8808333 45.3916664
Vardenik, Armenia	40.1350000 45.4363899
Akhuryan, Armenia	40.7813889 43.8963890
Tashir, Armenia	41.1244444 44.2819443
Byureghavan, Armenia	40.3147222 44.5936127
Garrni, Armenia	40.1194444 44.7230568
Sarukhan, Armenia	40.2891667 45.1341667
Chambarak, Armenia	40.5952778 45.3474998
Aparan, Armenia	40.5961111 44.3536110
Noratus, Armenia	40.3822222 45.1783333
Hoktember, Armenia	40.1361111 44.0138893
Noyemberyan, Armenia	41.1725000 44.9936104
Karanlukh, Armenia	40.1044444 45.2897224
Mrgashat, Armenia	40.1297222 44.0705566
Maralik, Armenia	40.5722222 43.8669434
Nor Geghi, Armenia	40.3211111 44.5797234
Oshakan, Armenia	40.2705556 44.2691650
Metsavan, Armenia	41.2016667 44.2288895
Agarak, Armenia	39.2038889 46.5472221
Jermuk, Armenia	39.8416667 45.6722221
Meghri, Armenia	38.9022222 46.2383347
Odzun, Armenia	41.0538889 44.6113892
Zovuni, Armenia	40.5108333 44.4288902
Azatan, Armenia	40.7238889 43.8205566
Prroshyan, Armenia	40.2480556 44.4150009
Kasakh, Armenia	40.5333333 44.4166679
Yeranos, Armenia	40.2080556 45.1861115
Avshar, Armenia	39.8405556 44.6836128
Lchashen, Armenia	40.5202778 44.9308319
Malishka, Armenia	39.7369444 45.3875008
Verin Getashen, Armenia	40.1327778 45.2486115
Nalbandyan, Armenia	40.0677778 43.9855537
Tsovinar, Armenia	40.1608333 45.4538879
Verin Artashat, Armenia	40.0005556 44.5849991
Shahumyan, Armenia	39.9308333 44.5783348
Byurakan, Armenia	40.3413889 44.2736130
Tsovagyugh, Armenia	40.6330556 44.9522209
Gandzak, Armenia	40.3147222 45.1113892
Arshaluys, Armenia	40.1688889 44.2141685
Voskevaz, Armenia	40.2797222 44.2949982
